Field Listing :: Legislative branch :: The World Factbook - Central Intelligence Agency

This entry has three subfields. The description subfield provides the legislative structure (unicameral â€“ single house; bicameral â€“ an upper and a lower house); formal name(s); number of member seats; types of constituencies or voting districts (single seat, multi-seat, nationwide); electoral voting system(s); and member term of office. The elections subfield includes the dates of the last election and next election. The election results subfield lists percent of vote by party/coalition and number of seats by party/coalition in the last election (in bicameral legislatures, upper house results are listed first). In general, parties with less than four seats and less than 4 percent of the vote are aggregated and listed as "other," and non-party-affiliated seats are listed as "independent." Also, the entries for some countries include two sets of percent of vote by party and seats by party; the former reflects results following a formal election announcement, and the latter â€“ following a mid-term or byelection â€“ reflects changes in a legislatureâ€™s political party composition.
Of the approximately 240 countries with legislative bodies, approximately two-thirds are unicameral, and the remainder, bicameral. The selection of legislative members is typically governed by a country's constitution and/or its electoral laws. In general, members are either directly elected by a country's eligible voters using a defined electoral system; indirectly elected or selected by its province, state, or department legislatures; or appointed by the country's executive body. Legislative members in many countries are selected both directly and indirectly, and the electoral laws of some countries reserve seats for women and various ethnic and minority groups.
Worldwide, the two predominant direct voting systems are plurality/majority and proportional representation. The most common of the several plurality/majority systems is simple majority vote, or first-past-the-post, in which the candidate receiving the most votes is elected. Countries' legislatures such as Bangladesh's Parliament, Malaysia's House of Representatives, and the United Kingdom's House of Commons use this system. Another common plurality/majority system â€“ absolute majority or two-round â€“ requires that candidates win at least 50 percent of the votes to be elected. If none of the candidates meets that vote threshold in the initial election, a second poll or"runoff" is held soon after for the two top vote getters, and the candidate receiving a simple vote majority is declared the winner. Examples of the two-round system are Haiti's Chamber of Deputies, Mali's National Assembly, and Uzbekistan's Legislative Chamber. Other plurality/majority voting systems, referred to as preferential voting and generally used in multi-seat constituencies, are block vote and single non-transferable vote, in which voters cast their ballots by ranking their candidate preferences from highest to lowest.
Proportional representation electoral systems â€“ in contrast to plurality/majority systems â€“ generally award legislative seats to political parties in approximate proportion to the number of votes each receives. For example, in a 100-member legislature, if Party A receives 50 percent of the total vote, Party B, 30 percent, and Party C, 20 percent, then Party A would be awarded 50 seats, Party B 30 seats, and Party C 20 seats. There are various forms of proportional representation and the degree of reaching proportionality varies. Some forms of proportional representation are focused solely on achieving the proportional representation of different political parties and voters cast ballots only for political parties, whereas in other forms, voters cast ballots for individual candidates within a political party.
Many countries - both unicameral and bicameral - use a mix of electoral methods, in which a portion of legislative seats are awarded using one system, such as plurality/majority, while the remaining seats are awarded by another system, such as proportional representation. Many countries with bicameral legislatures use different voting systems for the two chambers.

| Country | Legislative branch |
| **Greenland** | *description:* unicameral Parliament or Inatsisartut (31 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 4-year terms) (2013) |
| | *elections:* last held on 24 April 2018 (next to be held by 2022) (2013) |
| | *election results:* percent of vote by party - S 27.2%, IA 25.5%, D 19.5%, PN 13.4%, A 5.9%, SA 4.1%, NQ 3.4% other 1%; seats by party - S 9, IA 8, D 6, PN 4, A 2, SA 1, NQ 1 (2013) |
| | *note:* 2 representatives were elected to the Danish Parliament on 18 June 2015 (next to be held by June 2019); percent of vote by party - NA; seats by party - IA 1, S 1 |
| **Grenada** | *description:* bicameral Parliament consists of: |
| | Senate (13 seats; members appointed by the governor general - 10 on the advice of the prime minister and 3 on the advice of the leader of the opposition party; members serve 5-year terms) |
| | House of Representatives (15 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| | *elections:* |
| | House of Representatives - last held on 13 March 2018 (next to be not later than 2023) |
| | *election results:* |
| | House of Representatives - percent of vote by party - NNP 58.9%, NDC 40.5%; other 0.6% seats by party - NNP 15 |
| **Guam** | *description:* unicameral Legislature of Guam or Liheslaturan Guahan (15 seats; members elected in a single countrywide constituency by simple majority vote to serve 2-year terms) |
| | *elections:* last held onÂ 6 November 2018 (next to be held in November 2020) |
| | *election results:* percent of vote by party - NA; seats by party - Democratic Party 10, Republican Party 5; composition - men 5, women 10, percent of women 66.7% |
| | *note:* Guam directly elects 1 member by simple majority vote to serve a 2-year term as a delegate to the US House of Representatives; the delegate can vote when serving on a committee and when the House meets as the Committee of the Whole House, but not when legislation is submitted for a â€œfull floorâ€? House vote; election of delegate last held on 6 November 2018 (next to be held in November 2020) |
| **Guatemala** | *description:* unicameral Congress of the Republic or Congreso de la Republica (158 seats; 127 members directly elected in multi-seat constituencies in the country's 22 departments by simple majority vote and 31 directly elected in a single nationwide constituency by proportional representation vote; members serve 4-year terms) |
| | *elections:* last held on 6 September 2015 (next to be held in September 2019) |
| | *election results:* percent of vote by party - LIDER 19.1%, UNE 14.8%, TODOS 9.7%, PP 9.4%, FCN 8.8%, EG 6.2%, CREO-PU 5.7%, UCN 5.4%, Winaq-URNG-MAIZ 4.3%, Convergence 3.8%, VIVA 3.7%, PAN 3.4%, FUERZA 2.1%, other 3.5%; seats by party - LIDER 44, UNE 36, TODOS 18, PP 17, FCN 11, EG 7, UCN 6, CREO-PU 5, Convergence 3, PAN 3, VIVA 3, Winaq-URNG-MAIZ 3, FUERZA 2; note - seats by party as of 6 January 2016 - FCN 37, UNE 32, MR 20, TODOS 17, AC 12, EG 7, UCN 6, CREO 5, LIDER 5, VIVA 4, Convergence 3, PAN 3, PP 2, FUERZA 1, PU 1, URNG 1, Winaq 1, independent 1 |
| | *note:* seats by party as of 6 January 2016 - FCN 37, UNE 32, MR 20, TODOS 17, AC 12, EG 7, UCN 6, CREO 5, LIDER 5, VIVA 4, Convergence 3, PAN 3, PP 2, FUERZA 1, PU 1, URNG 1, Winaq 1, independent 1 |
| **Guernsey** | *description:* unicameral States of Deliberation (40 seats; 38 People's Deputies and 2 representatives of the States of Alderney; members directly elected by majority vote to serve 4-year terms); note - non-voting members include the bailiff (presiding officer), attorney-general, and solicitor-general |
| | *elections:* last held on 27 April 2016 (next to be held in 2020) |
| | *election results:* percent of vote - NA; seats - independent 38; composition - men 27, women 13, percent of women 32.5% |
| **Guinea** | *description:* unicameral People's National Assembly or Assemblee Nationale Populaire (114 seats; 76 members directly elected in a single nationwide constituency by proportional representation vote and 38 directly elected in single-seat constituencies by simple majority vote; members serve 5-year terms) |
| | *elections:* last held on 28 September 2013 (next to be held in late 2018) |
| | *election results:* percent of vote by party - NA; seats by party - RPG 53, UFDG 37, UFR 10, PEDN 2, UPG 2, other 10 |
| **Guinea-Bissau** | *description:* unicameral National People's Assembly or Assembleia Nacional Popular (102 seats; members directly elected in 2 single constituencies for citizens living abroad (1 for Africa, 1 for Europe) and 27 multi-seat constituencies by closed party-list proportional representation vote to serve 4-year terms) |
| | *elections:* last held on 13 April 2014 (next to be held on 18 November 2018) |
| | *election results:* percent of vote by party - PAIGC 48%, PRS 30.8%, other 21.2%; seats by party - PAIGC 57, PRS 41, other 4 |
| **Guyana** | *description:* unicameral National Assembly (65 seats; members directly elected in multi-seat constituencies and a single nationwide constituency by proportional representation vote; members serve 5-year terms) |
| | *elections:* last held on 11 May 2015 (next to be held by May 2020) |
| | *election results:* percent of vote by party - APNU-AFC 50.3%, PPP/C 49.2%, other 0.5%; seats by party - APNU-AFC 33, PPP/C 32 |
| **Haiti** | *description:* bicameral legislature or le Corps Legislatif ou parlement consists of: |
| | le Senat or Senate (30 seats; members directly elected in multi-seat constituencies by absolute majority vote in 2 rounds if needed; members serve 6-year terms with one-third of the membership renewed every 2 years) |
| | la Chambre de deputes or Chamber of Deputies (119 seats; members directly elected in single-seat constituencies by absolute majority vote in 2 rounds if needed; members serve 4-year terms); note - when the 2 chambers meet collectively it is known as L'Assemblee Nationale or the National Assembly and is convened for specific purposes spelled out in the constitution |
| | *elections:* |
| | Senate - last held on 20 November 2016 with runoff on 29 January 2017 (next election scheduled for October 2019); |
| | Chamber of Deputies - last held on 9 August 2015 with runoff elections held on 25 October 2015 and 20 November 2016 (next election scheduled for October 2019); note - the 9 October 2016 election for both the Senate and Chamber of Deputies was rescheduled for 20 November 2016 due to Hurricane Matthew |
| | *election results:* |
| | Senate - percent of vote by party - NA; seats by party - NA |
| | Chamber of Deputies - percent of vote by party - NA; seats by party - NA |
| **Holy See (Vatican City)** | *description:* unicameral Pontifical Commission for Vatican City State or Pontificia Commissione per lo Stato della Citta del Vaticano (7 seats; members appointed by the pope to serve 5-year terms) |
| | *elections:* last held on 1 June 2013 |
| **Honduras** | *description:* unicameral National Congress or Congreso Nacional (128 seats; members directly elected in multi-seat constituencies by closed, pary-list proportional representation vote; members serve 4-year terms) |
| | *elections:* last held on 27 November 2017 (next to be held on 28 November 2021) |
| | *election results:* percent of vote by party - PNH 47.7%, LIBRE 23.4%, PL 20.3%, AP 3.1%, PINU 3.1%, DC 0.8%, PAC 0.8%, UD 0.8%; seats by party - PNH 61, LIBRE 30, PL 26, AP 4, PINU 4, DC 1, PAC 1, UD 1 |
| **Hong Kong** | *description:* unicameral Legislative Council or LegCo (70 seats; 35 members directly elected in multi-seat constituencies by party-list proportional representation vote; 30 members indirectly elected by the approximately 220,000 members of various functional constituencies based on a variety of methods; 5 at large "super-seat" members directly elected by all of Hong Kongâ€™s eligible voters who do not participate in a functional constituency; members serve 4-year terms) |
| | *elections:* last held on 4 September 2016; (next to be held in September 2020); note - byelection held on 11 March and 25 NovemberÂ 2018 to fillÂ 5 seats left vacant afterÂ 5 legislators were removed from office |
| | *election results:* percent of vote by block - pro-democracy 36%; pro-Beijing 40.2%, localist 19%, other 4.8%; seats by block/party - pro-Beijing 40 (DAB 12, BPA 7, FTU 5, Liberal Party 4, NPP 3, other 9); pro-democracy 23 (Democratic Party 7, Civic Party 6, PP-LSD 2, Professional Commons 2, Labor 1, NWSC 1, PTU 1, other democrats 3), localists 6 (ALLin HK 2, CP-PPI-HKRO 1, Demosisto 1, Democracy Groundwork 1, other localist 1), non-aligned independent 1; composition - men 59, women 11, percent of women 15.7%; note - 2 localists were barred from taking office in November 2016 and 4 pro-democracy legislators were removed in July 2017; two pan-democratic,Â two DAB, and one pro-establishment candidates won the byelectionsÂ in 2018 to fill the seats vacated by theÂ 5 legislators removed from office; one pro-democracy seat remains unfilled pending a court appeal |
| **Hungary** | *description:* unicameral National Assembly or Orszaggyules (199 seats; 106 members directly elected in single-member constituencies by simple majority vote and 93 members directly elected in a single nationwide constituency by party list proportional representation vote; members serve 4-year terms) |
| | *elections:* last held on 8 April 2018 (next to be held in April 2022) |
| | *election results:* percent of vote by party list - Fidesz-KDNP 49.3%, Jobbik 19.1%, MSZP-PM 11.9%, LMP 7.1%, DK 5.4%, Together 0.7%, LdU 0.5%, other 6%; seats by party - Fidesz 117, Jobbik 26, KDNP 16, MSZP 15, LMP 9, DK 9, PM 5, LdU 1, independent 1; composition - men 174, women 25, percent of women 12.6% |
| **Iceland** | *description:* unicameral Althingi or Parliament (63 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 4-year terms) |
| | *elections:* last held on 28 October 2017 (next to be held in 2021) |
| | *election results:* percent of vote by party - IP 25.2%, LGM 16.9%, SDA 12.1%, CP 10.9%, PP 10.7%, Pirate Party 9.2%, People's Party 6.9%, Reform Party 6.7%. other 1.5%; seats by party - IP 16, LGM 11, SDA 7, CP 7, PP 8, Pirate Party 6, Reform Party 4, People's Party 4 |
| **India** | *description:* bicameral Parliament or Sansad consists of: |
| | Council of States or Rajya Sabha (245 seats; 233 members indirectly elected by state and territorial assemblies by proportional representation vote and 12 members appointed by the president; members serve 6-year terms) |
| | House of the People or Lok Sabha (545 seats; 543 members directly elected in single-seat constituencies by simple majority vote and 2 appointed by the president; members serve 5-year terms) |
| | *elections:* Council of States - last held by state and territorial assemblies at various dates in 2018 |
| | House of the People - last held April-May 2014 in 9 phases; (next must be held by May 2019) |
| | *election results:* Council of States - percent of vote by party - NA; seats by party - NA; composition - men 218, women 27, percent of women 11% |
| | House of the People - percent of vote by party - BJP 31.%, INC 19.3%, AITC 3.8%, SP 3.4%, AIADMK 3.3%, CPI(M) 3.3%, TDP 2.6%, YSRC 2.5%, AAP 2.1%, SAD 1.8%, BJD 1.7%, SS 1.7%, NCP 1.6%, RJD 1.3%, TRS 1.3%, LJP 0.4%, other 15.9%, independent 3.%; seats by party - BJP 282, INC 44, AIADMK 37, AITC 34, BJD 20, SS 18, TDP 16, TRS 11, CPI(M) 9, YSRC 9, LJP 6, NCP 6, SP 5, AAP 4, RJD 4, SAD 4, other 33, independent 3; composition - men 483, women 62, percent of women 11.4%; note - total Parliament percent of women 11.3% |
| **Indonesia** | *description:* bicameral People's Consultative Assembly or Majelis Permusyawaratan Rakyat consists of: |
| | Regional Representative Council or Dewan Perwakilan Daerah (132 seats; non-partisan members directly elected in multi-seat constituencies - 4 each from the country's 33 electoral districts - by proportional representation vote to serve 5-year terms); note - the Regional Representative Council has no legislative authority |
| | House of Representatives or Dewan Perwakilan Rakyat (560 seats; members directly elected in multi-seat constituencies by single non-transferable vote to serve 5-year terms) |
| | *elections:* |
| | Regional Representative Council - last held on 9 April 2014 (next to be held in 2019) |
| | House of Representatives - last held on 9 April 2014 (next to be held in 2019) |
| | *election results:* |
| | Regional Representative Council - all seats elected on a non-partisan basis |
| | House of Representatives - percent of vote by party - PDI-P 19%, Golkar 14.8%, Gerindra 11.8%, PD 10.2%, PKB 9%, PAN 2.6%, PKS 6.8%, NasDem 6.7%, PPP 6.5%, Hanura 5.3%, other 7.3%; seats by party - PDI-P 109, Golkar 91, Gerindra 73, PD 61, PAN 48, PKB 47, PKS 40, PPP 39, NasDem 36, Hanura 16; composition - men 463, women 97, percent of women 27.6% |
| **Iran** | *description:* unicameral Islamic Consultative Assembly or Majles-e Shura-ye Eslami or Majles (290 seats; 285 members directly elected in single- and multi-seat constituencies by 2-round vote, and 1 seat each for Zoroastrians, Jews, Assyrian and Chaldean Christians, Armenians in the north of the country and Armenians in the South; members serve 4-year terms); note - all candidates to the Majles must be approved by the Guardians Council, a 12-member group of which 6 are appointed by the supreme leader and 6 are jurists nominated by the judiciary and elected by the Majles |
